



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"972.928150456","/home/nanamori/sc27/SC-27/phase/EM.py","<module>","31",,,,,,,,,,,,,"40.14266434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"972.928410752","/home/nanamori/sc27/SC-27/phase/EM.py","<module>","32",,,,,,,,,,,,,,"139.9876452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"973.735889437","/home/nanamori/sc27/SC-27/phase/EM.py","main","78",,,,,,,,,,,,"1014.8260853227468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"975.140579454","/home/nanamori/sc27/SC-27/phase/EM.py","main","80",,,,"all clear(bme280)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"976.921722009","/home/nanamori/sc27/SC-27/phase/EM.py","main","95",,,,"all clear(bno055)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"976.922237694","/home/nanamori/sc27/SC-27/phase/EM.py","main","107",,,,"Finished setup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"976.922497175","/home/nanamori/sc27/SC-27/phase/EM.py","main","108",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"978.430458211","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.64053628394031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"978.430903156","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.794909357179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"978.431135786","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"0.05343654452662583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"978.431454471","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"980.939530099","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.680916669924045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"980.93996721","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.7755169822693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"980.940256229","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"0.22685970094455046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"980.940758803","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"983.449007449","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.670821571681884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"983.449662338","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.7873155065477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"983.449915486","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"0.12134691408889411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"983.450395486","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"985.958764985","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.72634462642018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"985.959196651","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.7919151412091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"985.959398614","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"0.0802132023517778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"985.959920966","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"988.468282668","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.791962827421955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"988.468738335","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.8403040246912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"988.468968613","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-0.3525107973826037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"988.469274761","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"990.977203019","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"38.84748595899437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"990.977637037","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1014.8726861353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"990.977864519","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-0.6420827795983063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"990.978210167","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
