



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"1792.114504672","/home/nanamori/sc27/SC-27/phase/EM.py","<module>","31",,,,,,,,,,,,,"40.14266434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1792.114754857","/home/nanamori/sc27/SC-27/phase/EM.py","<module>","32",,,,,,,,,,,,,,"139.9876452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1792.920172856","/home/nanamori/sc27/SC-27/phase/EM.py","main","78",,,,,,,,,,,,"1013.595137636657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1794.320832522","/home/nanamori/sc27/SC-27/phase/EM.py","main","80",,,,"all clear(bme280)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1796.10144441","/home/nanamori/sc27/SC-27/phase/EM.py","main","95",,,,"all clear(bno055)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1796.101954206","/home/nanamori/sc27/SC-27/phase/EM.py","main","107",,,,"Finished setup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1796.102215966","/home/nanamori/sc27/SC-27/phase/EM.py","main","108",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1797.610889576","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"33.95653790892684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1797.611346205","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6419555702828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1797.611582354","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.1647472721870846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1797.612536057","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1800.120693463","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"33.961585186072625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1800.121129037","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6223938751212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1800.121363797","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-1.98960277041988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1800.121696685","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1802.629869943","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"33.9969161342422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1802.630326314","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6786283340562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1802.630534351","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.493087358462426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1802.630802388","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1805.13875959","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.027199815452335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1805.139199108","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6992318639323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1805.139402794","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.677551503715939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1805.139930145","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1807.648279996","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.04234165998641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1807.64881607","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6681346530935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1807.649057662","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.399135887884056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1807.649342681","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810.157349013","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.08776720930473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810.157768494","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.630029991572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810.157991235","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.057972621330938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810.158306957","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1812.6664544","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.138240069529274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1812.666901752","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.5723400176655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1812.667133585","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-1.5414360025712206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1812.667637845","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1815.175685084","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.17861837866367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1815.176177806","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.691801541106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1815.176393158","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.6110279057546393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1815.176696325","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1817.684698897","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.26946964231902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1817.685141286","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.725947001292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1817.685372749","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.9167285708368604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1817.685636768","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1820.193697136","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.31994260731735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1820.194130285","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6405984993337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1820.19435771","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.152596904592328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1820.194843303","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1822.702998246","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.37546290243044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1822.703440505","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.5632552278539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1822.703676635","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-1.4600916812681817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1822.704223153","/home/nanamori/sc27/SC-27/phase/EM.py","main","142",,,,"Failed detect falling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1825.212491096","/home/nanamori/sc27/SC-27/phase/EM.py","main","131",,,,,,,,,,,,,,,"34.395652109384535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1825.212981652","/home/nanamori/sc27/SC-27/phase/EM.py","main","132",,,,,,,,,,,,,,,,"1013.6506002869778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1825.213248541","/home/nanamori/sc27/SC-27/phase/EM.py","main","133",,,,,,,,,,,"-2.2421463691740984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
