



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"550.356470989","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.24555555555555555","0.09222222222222222","0.39444444444444443",,,,,,,
"550.558955035","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.21666666666666667","0.3688888888888889","0.4444444444444444",,,,,,,
"550.761793501","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.04555555555555556","-0.27666666666666667","0.19777777777777777",,,,,,,
"550.964801828","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.20444444444444446","-0.6855555555555556","0.33",,,,,,,
"550.9706779","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.18","0.19","9.8",,,,
"551.074276127","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.09666666666666666","-0.16111111111111112","-0.4311111111111111",,,,,,,
"551.276593572","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.2311111111111111","0.3011111111111111","-0.04555555555555556",,,,,,,
"551.479978002","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.13","0.08333333333333333","0.5977777777777777",,,,,,,
"551.683939541","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.27666666666666667","-0.38333333333333336","0.06888888888888889",,,,,,,
"551.886421987","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.03333333333333333","0.2588888888888889","-0.23444444444444446",,,,,,,
"552.087266153","/home/nanamori/sc27/sc27/definition/motordrive_csv.py","move","185",,,"stacking now!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
