



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"370.727002252","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.57940334743471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"370.727106904","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.2491100385394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"370.739523666","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.07","-0.33","9.49",,,,,,,,,,,,,,,,
"370.739704562","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0011111111111111111","-0.0011111111111111111","-0.0033333333333333335",,,,,,,
"370.739854752","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45.0","-26.875","-32.5625",,,,,,,,,,
"370.739970553","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.07","-0.32","-0.31",,,,,,,,,,,,,
"370.740176023","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","-0.01","9.8",,,,
"371.751454876","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.584586309664882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"371.751567713","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.2573663908581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"371.764642183","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.02","-0.29","9.5",,,,,,,,,,,,,,,,
"371.764998085","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0011111111111111111","-0.0011111111111111111","0.0022222222222222222",,,,,,,
"371.765169388","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45.0","-26.1875","-30.25",,,,,,,,,,
"371.765282318","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.03","-0.05","-0.28",,,,,,,,,,,,,
"371.765389581","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.24","9.8",,,,
"372.776539097","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.574220385495572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"372.776651508","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.2943524727281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"372.78929637","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","-0.33","9.52",,,,,,,,,,,,,,,,
"372.790196254","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0044444444444444444","-0.0022222222222222222","0.0",,,,,,,
"372.790375797","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-43.875","-25.375","-29.875",,,,,,,,,,
"372.790474671","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.01","-0.12","-0.28",,,,,,,,,,,,,
"372.79056536","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.25","9.8",,,,
"373.801662951","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.57940334743471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"373.801758214","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.2758596325313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"373.813875166","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.03","-0.27","9.53",,,,,,,,,,,,,,,,
"373.814088544","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0011111111111111111","0.0011111111111111111","0.0011111111111111111",,,,,,,
"373.814231086","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26.375","-14.6875","-18.5625",,,,,,,,,,
"373.814347109","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.09","-0.05","-0.26",,,,,,,,,,,,,
"373.814448002","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.21","9.8",,,,
"374.827364681","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.589769272186096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"374.827855884","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.3191228594395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"374.846412325","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.03","-0.27","9.5",,,,,,,,,,,,,,,,
"374.847203594","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0022222222222222222","0.0","0.0011111111111111111",,,,,,,
"374.847902304","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-27.0625","-15.0","-18.1875",,,,,,,,,,
"374.848669072","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.03","-0.05","-0.28",,,,,,,,,,,,,
"374.849345337","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.21","9.8",,,,
"375.860886176","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.584586309664882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"375.862737853","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.3108660397438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"375.876841245","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.04","-0.26","9.52",,,,,,,,,,,,,,,,
"375.877119644","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0011111111111111111","0.0033333333333333335","0.0011111111111111111",,,,,,,
"375.877261112","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26.75","-14.6875","-18.5625",,,,,,,,,,
"375.877366449","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.02","-0.05","-0.27",,,,,,,,,,,,,
"375.877457859","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.21","9.8",,,,
"376.888708381","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.584586309664882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"376.888827607","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.284116206476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"376.90217736","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.04","-0.25","9.54",,,,,,,,,,,,,,,,
"376.902536558","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0011111111111111111","-0.0011111111111111111",,,,,,,
"376.902694063","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26.75","-15.25","-19.75",,,,,,,,,,
"376.902793474","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","-0.05","-0.29",,,,,,,,,,,,,
"376.902887774","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.21","9.8",,,,
"377.91396039","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.589769272186096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"377.914064098","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","40",,,,,,,,,,,,,,,,"1005.2656227673003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"377.925974353","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.03","-0.27","9.52",,,,,,,,,,,,,,,,
"377.926210806","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0011111111111111111","0.0033333333333333335","0.0011111111111111111",,,,,,,
"377.926313699","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26.375","-15.6875","-18.5625",,,,,,,,,,
"377.926411424","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.02","-0.05","-0.27",,,,,,,,,,,,,
"377.926504965","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.05","-0.21","9.8",,,,
"378.937551313","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","39",,,,,,,,,,,,,,,"22.600135198101633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
